,prompt,content
176,"B1,  Sports","rugby', 'sport', 'badminton', 'cricket', 'tennis?', 'golf', 'sports', 'volleyball(n)', 'football', 'tennis'"
177,"B1,  Music","musician', 'sing', 'rock', 'concert', 'team', 'drum', 'tour', 'music', 'singer', 'group', 'musical', 'guitarist', 'singing', 'album', 'guitar', 'band', 'orchestra', 'jazz'"
178,"B1,  Military","army', 'duty', 'war', 'fight', 'contest', 'defence', 'enemy', 'game', 'defend', 'attack', 'soldier', 'battle', 'competition', 'defeat', 'security'"
179,"B1,  Insects and Food","insect', 'peach', 'honey', 'bee'"
180,"B1,  Beginners","beginner', 'basic', 'beginning', 'begin', 'guidebook'"
181,"B1,  Beliefs","false', 'believe', 'think', 'opinion', 'real', 'lie', 'truth', 'fact'"
182,"B1,  Proximity","near', 'nearby', 'further', 'underneath', 'under', 'wherever', 'below', 'beside'"
183,"B1,  Basics","about', 'bin', 'capital'"
184,"B1,  Family and Birth","baby', 'delivery', 'child', 'birthday', 'pregnant', 'childhood', 'generation', 'birth', 'born', 'parent', 'mother'"
185,"B1,  Senses","blind', 'deaf', 'glance', 'sight', 'eye'"
186,"B1,  Hair","blond(e)', 'hair'"
187,"B1,  Clothing","dress', 'clothes', 'skirt', 'T-shirt', 'sweater', 'costume', 'dressed', 'dressed)', 'fashion', 'scarf', 'shirt.', 'wardrobe', 'shirt', 'jacket', 'wear', 'pants', 'blouse'"
188,"B1,  Time Periods","century', '19th.'"
189,"B1,  Books","bookstore', 'bookshop)', 'shelf', 'bookcase', 'bookshop', 'cupboard', 'bookshelf(n)'"
190,"B1,  Borders","border', 'zone', 'corner', 'region', 'immigration'"
191,"B1,  Leadership","leader', 'manager', 'employer', 'employee', 'king', 'champion', 'dad', 'captain', 'job', 'worker', 'boss', 'husband'"
192,"B1,  Jewelry","necklace', 'arm', 'bracelet', 'jewellery'"
193,"B1,  Branding","product', 'logo', 'brand', 'company'"
194,"B1,  Breakage","split', 'brake', 'break', 'tear', 'broken'"
195,"B1,  Colors","gray)', 'colour', 'black', 'pink', 'brown', 'blue', 'orange', 'white', 'green', 'grey', 'red', 'red'"
196,"B1,  Fire","heating', 'fuel', 'fire', 'candle', 'smoking', 'firework', 'burning', 'fried', 'burn', 'heat', 'frying', 'fry'"
197,"B1,  Insects","butterfly', 'creature', 'mosquito'"
198,"B1,  Prepositions","from', 'by', 'with'"
199,"B1,  Vegetables","squash', 'carrot', 'cabbage', 'vegetable', 'potato', 'salad', 'corn', 'leaf', 'broccoli(n)'"
200,"B1,  Schedules","calendar(n)', 'event(n)', 'timetable'"
201,"B1,  Communication","call', 'dial', 'telephone', 'phone'"
202,"B1,  Camping","camping', 'campsite', 'tent', 'camp', 'camping.'"
203,"B1,  Lighting","bulb', 'lamp'"
204,"B1,  Materials","box', 'material', 'paper', 'wood', 'cardboard', 'board', 'plastic', 'wooden', 'tissue'"
205,"B1,  Vegetarianism","donkey', 'fruit', 'tomato', 'coconut', 'vegetarian'"
206,"B1,  Cases","case', 'case.'"
207,"B1,  Cash","cash', 'cashpoint'"
208,"B1,  Agriculture","wildlife', 'beef', 'cattle', 'cow', 'calf', 'farmer', 'bull', 'sheep', 'horse', 'meat', 'animal', 'farm'"
209,"B1,  Geography","south', 'east', 'middle', 'southwest', 'west', 'town', 'location', 'northwest', 'eastern', 'north', 'northeast', 'southeast', 'centre/center', 'city', 'central'"
210,"B1,  Literature","character', 'book.', 'section', 'book', 'chapter'"
211,"B1,  Communication","discuss', 'chat', 'conversation', 'chatroom', 'internet', 'talk', 'communication', 'communicate'"
212,"B1,  Prepositions","after', 'in', 'on', 'at'"
213,"B1,  Environment","weather', 'outside', 'environmental', 'outdoors', 'environment', 'climate', 'outdoor'"
214,"B1,  Clouds","cloud', 'cloudy'"
215,"B1,  Occupations","waiter', 'teacher.', 'coach', 'teacher', 'instructor', 'trainer'"
216,"B1,  Beverages","milk', 'juice', 'thirsty', 'cola', 'coffee'"
217,"B1,  Collections","collect', 'list', 'collection'"
218,"B1,  Colors and Styles","purple', 'colourful', 'yellow', 'stylish', 'flower', 'bright'"
219,"B1,  Competition","compete', 'perform', 'tournament(n)', 'championship', 'competitor', '(compete)', 'succeed', 'motor-racing', 'training'"
220,"B1,  Expressions","congratulations!', '(prep)'"
221,"B1,  General Terms","son', 'advertisement', 'OK', 'my', 'He', 'yeah', 'she', 'now', 'this', 'great', 'their', 'oh', 'of', 'they', 'we', 'he', 'its', 'that', 'then', 'ad', 'hey', 'good', 'for', 'for', 'for', 'onto', 'for', 'mine.(pron)'"
222,"B1,  Curiosity","strange', '(strange)', 'curiously.', 'surprised', 'interesting', 'neat', 'special', 'surprising', 'curiously', 'unusual', 'wonder'"
223,"B1,  Cutting","scissors', 'knife', 'cut', 'haircut', 'piece', 'kill', 'sharp', 'shave'"
224,"B1,  Days","weekly', 'week', 'today', 'daily', 'day.', 'day', 'morning', 'weekday'"
225,"B1,  Times of Day","evening', 'shadow', 'night', 'light', 'dark'"
226,"B1,  Life and Death","horror', 'life', 'alive', 'death', 'dead(adj)', 'die'"
227,"B1,  Protection","guard', 'security', 'protect'"
228,"B1,  Delivery","envelope', 'mail', 'arrival', 'arrive', 'parcel', 'deliver', 'ship', 'arriving.', 'receive'"
229,"B1,  Depth","depth', 'deep'"
230,"B1,  Descriptions","description', 'describe', 'detail'"
231,"B1,  Creative Professions","engineer', 'artist', 'architect', 'painter', 'Eng:', 'designer', 'design'"
232,"B1,  Construction","develop', 'build', 'building', 'development', 'achieve', 'create'"
233,"B1,  Health and Food","food', 'meal', 'health', 'eat', 'diet', 'fat', 'healthy', 'slim', 'hunger'"
234,"B1,  Meals","lunchtime', 'breakfast', 'lunch', 'supper', 'cook', 'dining', 'restaurant', 'dinner', 'cooking', 'pizza', 'kitchen', 'hungry'"
235,"B1,  Discs","DVD', 'CD', 'disc', 'disk', 'CD-Rom', 'disc/disk'"
236,"B1,  Negative Descriptions","terrible', 'embarrassing', 'rubbish', 'sick', 'nasty', 'shocking', 'disgusting', 'horrible'"
237,"B1,  Areas","district', 'area', 'village'"
238,"B1,  Actions","go', 'do'"
239,"B1,  Marine Life","dinosaur', 'shark', 'ocean', 'whale', 'dolphin', 'fish', 'sea'"
240,"B1,  Technology","website', 'free', 'upload', 'install', 'update', 'copy', 'load', 'file', 'download'"
241,"B1,  Furniture","cabinet', 'furniture', 'drawer', 'desk'"
242,"B1,  Drinks","bottle', 'tea', 'drink', 'lemonade', 'water.', 'water'"
243,"B1,  Birds","egg', 'bird', 'duck', 'chicken', 'chicken', 'penguin'"
244,"B1,  Dust","dustbin', 'dusty', 'dust(n)'"
245,"B1,  Dirt","dirty', 'dirt'"
246,"B1,  Media","television', 'film', 'cinema', 'video', 'documentary', 'computer', 'novel'"
247,"B1,  Politics","government', 'political', 'election', 'party', 'politics', 'politician', 'president', 'candidate', 'vote'"
248,"B1,  Messaging","email', 'exchange', 'send', 'contact'"
249,"B1,  Employment","profession', 'unemployed', 'office', 'working', 'hire', 'unemployment', 'business', 'industry', 'employ', 'organisation', 'employment', 'occupation'"
250,"B1,  Quantity","less', 'enough', 'much', 'plenty', 'more', 'full', 'count', 'lots', 'total', 'few', 'many', 'most'"
251,"B1,  Entry and Exit","exit', 'escape', 'entrance'"
252,"B1,  Importance","important', 'importance', 'necessary', 'essential', 'unnecessary'"
253,"B1,  Frequency","never', 'often', 'once', 'rarely', 'always', 'until', 'ever', 'whenever', 'every', 'forever'"
254,"B1,  Examples","instance', 'example'"
255,"B1,  Conditions","though', 'unless', 'if'"
256,"B1,  Travel","journey.', 'journey', 'explorers.'"
257,"B1,  Skills","skill', 'expert', 'professional'"
258,"B1,  Travel and Exploration","explorer', 'travel'"
259,"B1,  Facial Features","appearance', 'head', 'mouth', 'neck', 'nose', 'cheeks.', 'cheek(n)', 'chin', 'face-to-face', 'skin', 'lip', 'body', 'tongue', 'eyes)', 'face', 'beard'"
260,"B1,  Distance","way', 'far', 'furthest'"
261,"B1,  Fashion","art', 'well-dressed', 'costume.', 'jeans', 'style', 'beauty', 'fashionable', 'suit'"
262,"B1,  Filling","pour', 'fill'"
263,"B1,  Completion","final', 'close', 'end', 'complete', 'ending', 'match', 'finished.', 'finish.', 'finish', 'last'"
264,"B1,  Interest","interested', 'accept', 'fully', 'whole', 'want', 'request', 'all'"
265,"B1,  Vehicles","truck', 'machine', 'factory', 'garage', 'engine', 'car', 'parking'"
266,"B1,  Actions","winner', 'win', 'put', 'come', 'buy', 'get', 'got', 'pull', 'take', 'give', 'provide', 'give'"
267,"B1,  Goals","ambition', 'ball', 'goal', 'purpose', 'goalkeeper', 'score'"
268,"B1,  Quality","very', 'well', 'nice', 'excellent', 'bad'"
269,"B1,  Growth","crop', 'plant', 'grow'"
270,"B1,  Accommodation","guest', 'accommodation', 'room', 'bedroom', 'housework(n)', 'guest-house', 'house', 'home', 'hotel'"
271,"B1,  Fitness","gym', 'school', 'gymnastics', 'fitness', 'exercise', 'swimming', 'gym.', 'workout', 'athletics'"
272,"B1,  Fabrics","towel(n)', 'handkerchief'"
273,"B1,  Hands","glove', 'second-hand', 'hand', 'right-hand', 'touch', 'thumb', 'left-hand', 'hand-held(adj)', 'handbag', 'handle'"
274,"B1,  Technology","equipment', 'PC', 'laptop', 'hardware', 'technology'"
275,"B1,  Pronouns","him', 'himself', 'his', 'it', 'IT', 'guy', 'man', 'you'"
276,"B1,  Possibility","hope', 'likely', 'probably', 'maybe', 'hopefully', 'possibly', 'soon', 'hopeful', 'perhaps'"
277,"B1,  Appearance","cute', 'gorgeous', 'attractive', 'warm', 'delicious', 'handsome', 'hot', 'beautiful'"
278,"B1,  Size","giant', 'big', 'tiny', 'small', 'huge(adj)', 'large', 'enormous'"
279,"B1,  Ice","hockey(n)', 'ice(n)', 'icy', 'frozen', 'freezer', 'temperature(n)', 'freeze', 'ice.', 'ice'"
280,"B1,  Identification","ill', 'ID'"
281,"B1,  Utility","useful', 'benefit'"
282,"B1,  Entry","inside', 'indoors', 'around', 'entry', 'where', 'enter', 'check-in', 'within', 'during', 'somewhere', 'through', 'into', 'out'"
283,"B1,  Conversion","become', 'opening', 'door', 'to'"
284,"B1,  Travel","departure', 'travel(v)', 'path', 'destination', 'route', 'road', 'transport', 'expedition'"
285,"B1,  Cooking","boil', 'cereal', 'boiled', 'kettle', 'pot'"
286,"B1,  Destruction","leave', 'destroy', 'live', 'gun', 'quit', 'delete', 'lose', 'shoot', 'stop'"
287,"B1,  Understanding","know', 'see', 'true', 'understand'"
288,"B1,  Climbing","stairs', 'elevator', 'climbing', 'roof', 'ladder', 'climb'"
289,"B1,  Language","language', 'French', 'accent.', 'speech', 'French.', 'vocabulary', 'translation', 'grammar', 'culture', 'text', 'translate', 'speak', 'cultural'"
290,"B1,  Roles","lead', 'role'"
291,"B1,  Sides","left', 'side'"
292,"B1,  Fruits","lemon', 'grape'"
293,"B1,  Education","lesson', 'teaching', 'learn', 'lecture', 'teach', 'classroom'"
294,"B1,  Licensing","permit', 'licence'"
295,"B1,  Existence","world', 'happiness', 'living'"
296,"B1,  Wildlife","lion', 'jungle', 'tiger', 'monkey'"
297,"B1,  Literature","poetry', 'reading', 'reader', 'author', 'writer', 'poem', 'essay', 'poet', 'writing', 'fiction', 'novel', 'biography', 'literature'"
298,"B1,  Security","locker', 'lock', 'password'"
299,"B1,  Solitude","depressed', 'alone', 'single', 'yourself', 'hopeless', 'bored', 'lonely'"
